Step,train_acc1,train_loss,val_acc1,val_loss
0,18.08274021,2.2499798,25.5,2.14606894
1,29.54848754,2.019974454,36.6,1.791001201
2,36.34341637,1.928917694,36.2,1.808796116
3,41.33674377,1.844278422,41.4,1.661867807
4,45.88523132,1.781291639,50.4,1.44142808
5,47.92037367,1.736805954,54.3,1.344650082
6,48.86565836,1.740064815,53.5,1.370925969
7,50.45596085,1.695552435,52.8,1.461708314
8,51.33451957,1.687267165,51,1.405566025
9,53.28069395,1.645069451,33.7,1.857255307
10,55.3158363,1.606268431,58.9,1.2711473
11,55.91637011,1.577151301,52.9,1.433551603
12,58.84119217,1.564866151,63.1,1.099242783
13,58.41859431,1.550154086,61.2,1.181085528
14,60.46485765,1.499412911,56.7,1.277026146
15,62.1774911,1.468469068,61.3,1.161185422
16,63.1116548,1.4578129,66.6,1.041497891
17,63.4452847,1.435459563,63.4,1.107704761
18,64.42393238,1.419545955,59.8,1.217757124
19,65.69172598,1.399761314,64.3,1.039212932
20,65.22464413,1.40834728,67.9,0.999000325
21,66.37010676,1.392409406,68.9,0.96834948
22,66.00311388,1.399596716,67.6,1.004828115
23,66.79270463,1.39162328,70.8,0.936270031
24,67.69350534,1.358117662,67.3,0.97703198
25,67.59341637,1.357744755,69.1,0.992733947
26,68.17170819,1.35634398,72.8,0.893467541
27,68.59430605,1.354670298,70.3,0.935691584
28,68.38300712,1.351240249,69.8,0.981805526
29,68.96129893,1.354373969,71.8,0.89513114
30,69.75088968,1.317577577,73,0.872723007
31,69.9955516,1.327383376,70.7,0.96335794
32,70.15124555,1.320957259,68.8,0.989085538
33,71.5524911,1.287200171,71.5,0.939567277
34,70.32918149,1.305970591,64,1.099620669
35,72.35320285,1.284521591,69.3,0.955815033
36,72.98709964,1.266192834,74.6,0.837232695
37,72.1752669,1.274888836,67,1.03829316
38,74.93327402,1.228351542,67.8,0.991364919
39,72.95373665,1.252223701,69.1,0.987225814
40,74.14368327,1.236725459,72.8,0.845680381
41,75.36699288,1.219709311,75.3,0.810821308
42,76.14546263,1.198869586,72,0.895460538
43,76.49021352,1.213344577,74.1,0.816555426
44,75.23354093,1.215062288,75.2,0.82505812
45,75.25578292,1.229741891,73.7,0.821896228
46,77.93594306,1.152938852,67.6,1.052260379
47,76.85720641,1.199343717,74.1,0.838408605
48,78.26957295,1.128473502,74.4,0.819829601
49,79.71530249,1.116863269,72.9,0.838812778
50,78.4475089,1.158203442,74.8,0.844736142
51,79.67081851,1.129155249,74.8,0.833849577
52,79.84875445,1.130856414,74.3,0.840436849
53,79.79314947,1.121280902,75.6,0.790000874
54,81.98398577,1.097572497,77.4,0.778397596
55,82.1730427,1.072963092,77.6,0.736286198
56,81.32784698,1.099737737,75.7,0.785065976
57,80.42704626,1.112745858,76.7,0.786578405
58,80.44928826,1.117914325,75.8,0.822421152
59,83.02935943,1.079619538,76.7,0.783265178
60,84.28603203,1.063143037,77.2,0.755195439
61,83.80782918,1.058743483,78.1,0.76773147
62,84.18594306,1.036489783,77.9,0.737871305
63,84.51957295,1.023877059,78.1,0.737757233
64,85.26467972,0.99240723,77.9,0.758626677
65,84.58629893,1.036668206,78,0.739245292
66,85.98754448,1.025255714,77.2,0.809660048
67,84.24154804,1.047645638,78.2,0.765541184
68,85.6094306,1.005782989,78.7,0.720090422
69,85.85409253,1.018141742,77.7,0.741179968
70,87.02179715,0.972797969,78.9,0.714992996
71,88.99021352,0.940444333,79.2,0.70491819
72,86.48798932,0.978161176,78.5,0.807318953
73,87.87811388,0.982590587,80.1,0.71297507
74,89.23487544,0.926224406,79.7,0.721966885
75,96.36343416,0.609098928,80.6,0.652088423
76,97.20862989,0.591283802,79.6,0.671244769
77,96.84163701,0.594122541,81.3,0.642272155
78,97.41992883,0.584011362,79.8,0.654638236
79,97.65346975,0.576922022,81.1,0.644810484
80,97.95373665,0.571541316,80.8,0.650126415
81,98.04270463,0.568336882,81.6,0.625428409
82,98.20951957,0.562853898,81.7,0.608665317
83,98.30960854,0.561092414,82,0.613688742
84,98.4430605,0.557241008,83.1,0.599090852
85,98.45418149,0.555174914,82.5,0.601211772
86,98.57651246,0.553409719,82.7,0.599699752
87,98.70996441,0.549545049,82.4,0.626431444
88,98.72108541,0.55061411,83.8,0.59931965
89,98.7655694,0.546328276,82.6,0.597464444
90,98.64323843,0.548929372,82.9,0.610986426
91,98.96574733,0.545834062,82.2,0.597083523
92,98.83229537,0.545032825,82.7,0.598977287
93,98.73220641,0.54610289,82,0.618156578
94,99.04359431,0.541713098,81.7,0.616110142
95,98.69884342,0.546832227,82.4,0.59755923
96,99.02135231,0.542714807,82.6,0.603641928
97,98.95462633,0.541561767,84.2,0.58684284
98,98.81005338,0.542820849,81.4,0.611457607
99,98.98798932,0.540720123,82.6,0.614168977
100,98.91014235,0.542261729,82.6,0.614669711
101,98.92126335,0.541944394,82.8,0.600169272
102,98.81005338,0.542969117,82.8,0.595714057
103,98.77669039,0.543073408,82.1,0.609974565
104,99.0547153,0.540261833,82,0.600824032
105,98.69884342,0.546414568,82.3,0.607144758
